site_id,date,temperature,temperature_max,temperature_min,precipitation,humidity,wind_speed,solar_radiation,temperature_range,vpd_kpa,et0,rainfall_7d,rainfall_30d,temperature_7d,water_balance_30d,precipitation_lag1,doy_sin,doy_cos,crop_age,kc,latitude,longitude,field_capacity,wilting_point,root_depth_m,taw_mm,target,prediction
meknes,2022-01-23,16.04,24.12,11.96,0.06,64.78,1.99,7.95,12.16,0.6420385830109825,2.1870285504398144,0.1600000000000319,14.989999999999998,13.365714285714288,-42.28662429868845,0.05,0.3854133594543256,0.9227440286201428,69,1.15,33.89,-5.55,0.3,0.15,1.0,150.0,0.5261645595705663,0.5845142955953553
settat,2022-01-23,16.05,23.52,11.78,0.02,63.72,3.01,11.41,11.74,0.6617841390534386,2.2070702903462918,0.0799999999999997,15.910000000000018,13.141428571428571,-45.153145706732815,0.0,0.3854133594543256,0.9227440286201428,69,1.15,33.0,-7.62,0.28,0.14,1.0,140.0,0.7298340145931898,0.739292093101569
marrakech,2022-01-24,12.31,18.92,8.14,0.05,65.3,1.5,14.26,10.78,0.4967279697605446,1.968937002769602,0.0899999999999857,21.59,12.54857142857143,-40.98494653585212,0.0,0.4012289854475009,0.9159777842484876,70,1.15,31.63,-7.99,0.25,0.12,1.0,130.0,0.5908973896422253,0.6581496965691054
meknes,2022-01-24,13.7,18.81,10.0,0.46,75.3,1.2,9.3,8.809999999999999,0.3872336001941022,1.7452529602009668,0.620000000000032,8.12,13.564285714285717,-49.73390947629894,0.06,0.4012289854475009,0.9159777842484876,70,1.15,33.89,-5.55,0.3,0.15,1.0,150.0,0.5596811434250077,0.7177263356986686
settat,2022-01-24,13.49,19.6,10.41,0.08,80.92,1.87,11.39,9.19,0.2950644360170906,1.8175161643380224,0.1599999999999997,5.9700000000000175,13.301428571428572,-55.68152181925392,0.02,0.4012289854475009,0.9159777842484876,70,1.15,33.0,-7.62,0.28,0.14,1.0,140.0,0.6932141592327984,0.6902336100166303
marrakech,2022-01-25,11.04,17.21,7.78,5.61,76.82,1.16,10.72,9.43,0.3050971423817878,1.7755840920006698,5.699999999999986,25.07,12.601428571428572,-37.732896938169446,0.05,0.4169258813287287,0.908940487313808,71,1.15,31.63,-7.99,0.25,0.12,1.0,130.0,0.5757388555869272,0.47590008464770445
meknes,2022-01-25,13.01,19.81,7.91,0.21,67.58,1.59,11.26,11.9,0.4858950517348113,1.9983952394987623,0.820000000000032,7.47,13.547142857142855,-50.88469937719624,0.46,0.4169258813287287,0.908940487313808,71,1.15,33.89,-5.55,0.3,0.15,1.0,150.0,0.5779392550124924,0.6727510682767373
settat,2022-01-25,13.16,18.98,7.98,3.46,75.84,0.92,11.18,11.0,0.3656662023564703,1.981325515142747,3.61,7.850000000000017,13.571428571428571,-54.15166900256052,0.08,0.4169258813287287,0.908940487313808,71,1.15,33.0,-7.62,0.28,0.14,1.0,140.0,0.698226085944128,0.5843503123099096
marrakech,2022-01-26,9.89,15.83,5.45,2.05,67.06,1.56,11.83,10.38,0.4015189734934096,1.8006836769221426,7.749999999999986,27.1,12.475714285714286,-35.51740887378758,5.61,0.4324994021339788,0.901634220265486,72,1.15,31.63,-7.99,0.25,0.12,1.0,130.0,0.591790866498596,0.42024746931775725
meknes,2022-01-26,13.91,21.07,9.92,0.13,57.44,2.39,11.93,11.15,0.676402737474584,2.005660666279321,0.910000000000032,7.27,13.687142857142858,-51.40904658109636,0.21,0.4324994021339788,0.901634220265486,72,1.15,33.89,-5.55,0.3,0.15,1.0,150.0,0.5878920662758592,0.7003633128102976
settat,2022-01-26,13.13,19.65,9.43,0.43,69.53,1.15,12.95,10.22,0.4602661844578216,1.921573974232191,4.01,8.080000000000018,13.707142857142856,-53.89033801717308,3.46,0.4324994021339788,0.901634220265486,72,1.15,33.0,-7.62,0.28,0.14,1.0,140.0,0.7202438297388222,0.6749483504678867
marrakech,2022-01-27,10.47,17.58,5.78,0.88,57.76,2.88,10.71,11.799999999999995,0.5352555195383516,1.9735728692782504,8.629999999999987,27.97,12.381428571428572,-34.365270457146025,2.05,0.4479449394078911,0.8940611451454876,73,1.15,31.63,-7.99,0.25,0.12,1.0,130.0,0.6109060772599895,0.3941006992390188
meknes,2022-01-27,13.0,19.98,9.06,0.34,60.1,1.97,13.38,10.92,0.5976105902000334,1.9424153848712544,1.250000000000032,7.5,13.78857142857143,-51.34874406196976,0.13,0.4479449394078911,0.8940611451454876,73,1.15,33.89,-5.55,0.3,0.15,1.0,150.0,0.6039588056585588,0.7045678051496607
settat,2022-01-27,13.65,20.96,9.02,0.06,55.79,1.93,13.32,11.94,0.6908500391222133,2.127232483291248,4.05,7.950000000000018,13.895714285714288,-54.10606383937616,0.43,0.4479449394078911,0.8940611451454876,73,1.15,33.0,-7.62,0.28,0.14,1.0,140.0,0.7312273841259942,0.7103875312137882
marrakech,2022-01-28,11.69,18.68,7.44,0.28,53.5,4.92,11.24,11.239999999999998,0.6389796558896769,2.0232868619056403,8.909999999999986,28.25,12.22,-33.762169115497834,0.88,0.4632579225674917,0.88622350294858,74,1.15,31.63,-7.99,0.25,0.12,1.0,130.0,0.6375733779731163,0.37365697390083696
meknes,2022-01-28,12.88,19.14,8.56,0.04,60.61,2.04,8.55,10.58,0.5853568170493665,1.919025525962775,1.290000000000032,7.53,13.918571428571427,-51.21313808890563,0.34,0.4632579225674917,0.88622350294858,74,1.15,33.89,-5.55,0.3,0.15,1.0,150.0,0.6565481052388467,0.7044019190540127
settat,2022-01-28,13.95,21.51,10.45,0.08,57.29,2.72,11.73,11.060000000000002,0.6805519186247289,2.08208576549246,4.13,7.940000000000017,14.142857142857142,-53.89172126975506,0.06,0.4632579225674917,0.88622350294858,74,1.15,33.0,-7.62,0.28,0.14,1.0,140.0,0.7526508505893623,0.7268660548873483
marrakech,2022-01-29,13.36,20.57,9.46,0.01,44.55,5.16,11.49,11.11,0.8502750091128982,2.14046203476319,8.879999999999987,28.26,11.994285714285713,-33.51082572173641,0.28,0.4784338202547012,0.8781236129591848,75,1.15,31.63,-7.99,0.25,0.12,1.0,130.0,0.6521502920269353,0.4495241878478868
meknes,2022-01-29,15.17,24.75,8.33,0.0,50.99,2.19,12.81,16.42,0.8449816888435758,2.5890131680074577,1.240000000000032,7.53,13.95857142857143,-51.527460101817546,0.04,0.4784338202547012,0.8781236129591848,75,1.15,33.89,-5.55,0.3,0.15,1.0,150.0,0.6712678871184974,0.7381329193865285
settat,2022-01-29,14.74,21.6,8.9,0.01,52.7,1.97,8.12,12.7,0.7932253079527152,2.3036912249529324,4.14,7.950000000000017,14.024285714285714,-53.77911554160359,0.08,0.4784338202547012,0.8781236129591848,75,1.15,33.0,-7.62,0.28,0.14,1.0,140.0,0.7760281580695798,0.7206845070699734
marrakech,2022-01-30,14.55,23.12,8.94,1.53,37.79,4.48,12.15,14.18,1.0305479582064765,2.5284654991463573,10.409999999999986,29.79,11.901428571428571,-31.93239941279704,0.01,0.4934681416772373,0.8697638720650646,76,1.15,31.63,-7.99,0.25,0.12,1.0,130.0,0.6610490960018028,0.37419807726799914
